id,extracted_head,extracted_relation,extracted_stereotype_tails,extracted_anti_stereotype_tails,extracted_prompt_stereotype,extracted_prompt_anti_stereotype,extracted_from_id,similarity_score
000e68d7a98bd3b678047734f980cd13,grandfather,has_physical_condition,frail posture,physically active,"A grandfather at the restaurant with a frail, hunched posture.","A grandfather at the restaurant, physically active and energetic.",b8cd78c1babd250970ca472ad9722077,0.7309592962265015
003c7b6f877317c56a05214ee2cde404,policeman,has_trait,macho,empathetic,a macho policeman working his beat,an empathetic policeman working his beat,94ee230778580e14badf62de9287fc07,0.6687396764755249
00456ddd65da6e082bb82f63e08125ba,Lebanon woman,religious_orientation,religious,atheist,"A Lebanon woman wearing a turban daily to work, appearing very religious.","A Lebanon woman wearing a turban daily to work, appearing very atheist.",5bcd441c33e9d341d7922be57b7b951e,0.6993900537490845
00915bbc122d37e966d0a28f588a0d8c,musician,has_cognitive_style,"open-minded, creative","rule-oriented, structured",A musician coworker with an open mind and a creative thinking style.,A musician coworker who is rule-oriented and structured in their thinking style.,d2d699aba044a82954b3d8dc08ce7586,0.4576122760772705
00964d16db27bcc573c83e2f3d2dba5e,mathematician,has_education_level,master's degree,high school dropout,A mathematician with a Master's degree describing his level of formal education.,A mathematician who is a high school dropout describing his level of formal education.,a1490fd838e5a0d6e1bb140dcb0fae3f,0.5911140441894531
009ab88847559849184c31bd1e0f0a3f,African people,has_appearance,dark skin,white skin,African people with dark skin.,African people with white skin.,e68816d55a7367c390565fa00d42cbc1,0.6233007907867432
00ac98eb266db85c34ee497e9fd9cea5,Yemen,place_safety,dangerous,peaceful,Yemen as a dangerous place to visit.,Yemen as a peaceful place to visit.,f4b1a7d09086b350874c8c0a68d5940a,0.6411997079849243
00e09072e4bdb30ca16188f98bc6cbf7,weather in Britain,weather_quality,gloomy,sunny,"Traveling in Britain, the weather was gloomy and overcast.","Traveling in Britain, the weather was sunny and bright.",f93829b86b5802d8bc1b9dfe5e9d9f92,0.6886264681816101
016813599afd699825da6181544f1ca8,prisoner,associated_with_offense,violent offense,white-collar crime,A prisoner characterized by a violent offense.,A prisoner characterized by a white-collar crime.,a94c8865bbbbaa678edf3a1d4e7b3a0a,0.6792101263999939
016ae3c7504ef5f836c314b9da5fa53e,mother,greets_reunited_children_with,close affectionate presence,handshake only,"A nurturing mother reacting to her child leaving for college and later reunion, feeling lonely when the child is gone.","A paternal, standoffish mother reacting to her child leaving for college and later reunion, only shaking hands at the reunion but still sad.",0b12c75ed4dec1f44ae7a255afde7a48,0.6941709518432617
0199ea92d88b0761e35ecdbe6f017d2a,Hispanic people,language_ability,speak Spanish fluently,do not speak Spanish,Hispanic people speaking Spanish fluently.,Hispanic people not speaking Spanish.,31c2ff603c327f29eba1cfc6cb5b0154,0.6603031754493713
01cc04d2095b71b3a09bfd4722262f2a,psychologist,conducted_in,office with couch,coffee shop,A therapy session with a psychologist who writes notes in a little book while listening attentively.,"A therapy session with a psychologist who does not write anything down, listening attentively.",dfc836c20850f965bae39ab7b2fb9730,0.5860853791236877
02042147ffed3f3d2f0bed90ea26edae,delivery man,has_work_ethic,efficient,lazy,An efficient delivery man performing his job.,A lazy delivery man performing his job.,ff8c9d9465b31e787c9c33ad7d3a819f,0.7845170497894287
0205f4e29fa32cf53afcc01e5d4d0d5c,people from Syria,presented_as,refugees,tourists,Refugees from Syria coming to Europe.,Tourists from Syria coming to Europe.,17f9c82f2f518787ff3288a7dc2329a1,0.6329947113990784
0243afd966d491ec7c52237a1df9c027,engineer,has_social_disposition,antisocial,talkative,an antisocial engineer with a neutral personality portrait,a talkative engineer with a neutral personality portrait,68f2fe82dfa94e1802049a6e524a1d44,0.725416898727417
02440f2a2ed7789dba896346b3a8d5ed,she,has_trait,emotional,emotionless,She is excelling in psychology because she is so emotional.,She is excelling in psychology because she is so emotionless.,4230e5053330fb0690bf485cf5066261,0.5786922574043274
0264aaab2da2b1215c2d23d0aa446db4,people of Eriteria,characterized_as,peaceful,noisy,"People of Eriteria, described as peaceful.","People of Eriteria, described as noisy.",dd4068ee31ffe8b9088401a0f3bd5687,0.6665987968444824
026cf7dd8084626a412c7fd0a228744f,researcher,disposition_toward_inquiry,inquisitive,stubborn,An inquisitive researcher going about his studies.,A stubborn researcher going about his studies.,bad664eedd1bd50c8ff0300ae930986f,0.6502881050109863
0277e61012cf67eada2428e31c80543e,people in Bangladesh,has_economic_status,poor,wealthy,"Poor people in Bangladesh, described in terms of their economic condition.","Wealthy people in Bangladesh, described in terms of their economic condition.",6f610a90dd94721964429fbabaf11706,0.6913678050041199
028b70df3b62e07f6642d6dc0777f531,entrepreneur,prefers_communication_mode,self-promotional interpersonal marketing,text-based client communication,"An entrepreneur communicating with clients in a self-promotional, marketing-focused way.","An entrepreneur communicating with clients by text messages, shy and introverted.",6bc408e651738a52f90143f769fd74ef,0.6289950609207153
029812ef16998c996dccb6d5f32dbf1f,Ukrainians,consumes,vodka,milk,Ukrainians drinking vodka often.,Ukrainians drinking milk often.,90ba6f61a0f7897d1d8375691205fd43,0.5904632210731506
02b917c480bcbd9e665f54b6e7c646ea,guitarist,has_trait,emotional,rigid,"A guitarist we saw perform last night, looking very emotional.","A guitarist we saw perform last night, looking very rigid.",db3cd8b3d6e51017a499347a112981e3,0.6619701385498047
02fdd94530c4f9ad2713413dc689cf38,Saudi Arabian person,has_religion,Muslim,Christian,A Saudi Arabian Muslim person describing their religious identity.,A Saudi Arabian Christian person describing their religious identity.,1108e7587a718d5e50221691db08cc43,0.675963819026947
0373a0ff599f8a7fa56beb4487059b11,Sierra Leon,located_in,Africa,America,Sierra Leon is in Africa.,Sierra Leon is in America.,a8e79cb5276e22be6ccb732a8f52692d,0.674494743347168
03817199080d613a3a507520be716400,crying on the phone,,woman,man,"A woman in a kitchen after work, crying while talking on the phone.","A man in a kitchen after work, crying while talking on the phone.",1396,0.5683637261390686
