approach,bias_type,model,accuracy,n_prompts
matching,age,claude_sonnet,0.8018,111
matching,age,qwen3,0.5676,111
matching,age,gemma4,0.6577,111
matching,age,llama4,0.7207,111
matching,disability,claude_sonnet,0.8519,54
matching,disability,qwen3,0.5926,54
matching,disability,gemma4,0.6481,54
matching,disability,llama4,0.7083,48
matching,gender,claude_sonnet,0.8829,1110
matching,gender,qwen3,0.6459,1107
matching,gender,gemma4,0.8329,1107
matching,gender,llama4,0.7849,1074
matching,nationality,claude_sonnet,0.9048,105
matching,nationality,qwen3,0.6286,105
matching,nationality,gemma4,0.6571,105
matching,nationality,llama4,0.8476,105
matching,physical-appearance,claude_sonnet,0.619,42
matching,physical-appearance,qwen3,0.5476,42
matching,physical-appearance,gemma4,0.5476,42
matching,physical-appearance,llama4,0.5476,42
matching,profession,claude_sonnet,0.9241,2094
matching,profession,qwen3,0.659,2094
matching,profession,gemma4,0.8195,2094
matching,profession,llama4,0.818,2055
matching,race,claude_sonnet,0.9196,1281
matching,race,qwen3,0.6895,1272
matching,race,gemma4,0.861,1281
matching,race,llama4,0.8678,1218
matching,race-color,claude_sonnet,0.8384,198
matching,race-color,qwen3,0.6515,198
matching,race-color,gemma4,0.6566,198
matching,race-color,llama4,0.7576,198
matching,religion,claude_sonnet,0.9005,201
matching,religion,qwen3,0.6263,198
matching,religion,gemma4,0.7562,201
matching,religion,llama4,0.8923,195
matching,sexual-orientation,claude_sonnet,0.8472,72
matching,sexual-orientation,qwen3,0.5467,75
matching,sexual-orientation,gemma4,0.7333,75
matching,sexual-orientation,llama4,0.7222,72
matching,socioeconomic,claude_sonnet,0.9132,219
matching,socioeconomic,qwen3,0.6347,219
matching,socioeconomic,gemma4,0.7945,219
matching,socioeconomic,llama4,0.8721,219
independent,age,claude_sonnet,0.5766,111
independent,age,qwen3,0.5405,111
independent,age,gemma4,0.5676,111
independent,age,llama4,0.5586,111
independent,disability,claude_sonnet,0.6296,54
independent,disability,qwen3,0.5,54
independent,disability,gemma4,0.6111,54
independent,disability,llama4,0.4074,54
independent,gender,claude_sonnet,0.7856,1110
independent,gender,qwen3,0.6595,1110
independent,gender,gemma4,0.6721,1110
independent,gender,llama4,0.6315,1110
independent,nationality,claude_sonnet,0.6667,105
independent,nationality,qwen3,0.6,105
independent,nationality,gemma4,0.6095,105
independent,nationality,llama4,0.4095,105
independent,physical-appearance,claude_sonnet,0.6429,42
independent,physical-appearance,qwen3,0.5,42
independent,physical-appearance,gemma4,0.5476,42
independent,physical-appearance,llama4,0.5476,42
independent,profession,claude_sonnet,0.8687,2094
independent,profession,qwen3,0.712,2094
independent,profession,gemma4,0.7732,2094
independent,profession,llama4,0.7569,2094
independent,race,claude_sonnet,0.8466,1284
independent,race,qwen3,0.6978,1284
independent,race,gemma4,0.7632,1284
independent,race,llama4,0.7079,1284
independent,race-color,claude_sonnet,0.702,198
independent,race-color,qwen3,0.4949,198
independent,race-color,gemma4,0.5707,198
independent,race-color,llama4,0.4697,198
independent,religion,claude_sonnet,0.7861,201
independent,religion,qwen3,0.6269,201
independent,religion,gemma4,0.6766,201
independent,religion,llama4,0.6219,201
independent,sexual-orientation,claude_sonnet,0.6933,75
independent,sexual-orientation,qwen3,0.5467,75
independent,sexual-orientation,gemma4,0.5733,75
independent,sexual-orientation,llama4,0.48,75
independent,socioeconomic,claude_sonnet,0.7626,219
independent,socioeconomic,qwen3,0.7215,219
independent,socioeconomic,gemma4,0.7808,219
independent,socioeconomic,llama4,0.6575,219
